1.227,0.378,117
1.291,0.403,109
1.371,0.428,90
1.395,0.424,91
1.292,0.405,106
1.227,0.39,123
1.419,0.43,82
1.549,0.47,89
1.291,0.402,113
1.428,0.427,89
1.41,0.423,98
1.271,0.403,95
1.253,0.364,114
1.349,0.399,100
1.364,0.414,98
1.391,0.442,86
1.294,0.401,93
1.268,0.419,110
1.239,0.378,112
1.237,0.407,105
1.289,0.39,97
1.321,0.398,90
1.241,0.394,102
1.275,0.393,96
1.269,0.387,103
1.166,0.352,121
1.265,0.408,109
1.394,0.438,91
1.221,0.373,120
1.301,0.411,99
1.196,0.37,118
1.315,0.428,98
1.3,0.393,109
1.293,0.4,97
1.329,0.408,106
1.173,0.384,112
1.327,0.386,100
1.436,0.423,101
1.252,0.373,116
1.49,0.445,85
1.267,0.387,120
1.378,0.408,89
1.228,0.365,110
1.303,0.384,104
1.294,0.397,101
1.413,0.434,90
1.287,0.393,95
1.305,0.413,102
1.217,0.379,109
1.372,0.415,87
1.233,0.341,109
1.328,0.403,86
1.328,0.417,86
1.313,0.39,87
1.245,0.368,110
1.227,0.381,103
1.277,0.387,114
1.344,0.426,97
1.226,0.379,106
1.34,0.414,88
1.265,0.37,106
1.241,0.382,115
1.324,0.409,100
1.3,0.376,97
1.405,0.401,88
1.237,0.383,103
1.268,0.385,110
1.439,0.443,88
1.332,0.401,97
1.335,0.396,94
1.259,0.377,113
1.221,0.351,101
1.206,0.376,103
1.33,0.39,98
1.247,0.393,103
1.391,0.428,86
1.284,0.382,99
1.232,0.395,103
1.145,0.356,116
1.306,0.387,99
1.263,0.371,103
1.225,0.362,104
1.173,0.356,115
1.169,0.382,99
1.236,0.366,104
1.212,0.362,105
1.413,0.428,89
1.31,0.407,95
1.158,0.358,124
1.33,0.423,102
1.412,0.426,88
1.317,0.418,102
1.356,0.424,100
1.152,0.372,114
1.32,0.41,98
1.362,0.42,92
1.186,0.386,117
1.513,0.461,92
1.368,0.444,86
1.201,0.382,110
1.282,0.396,112
1.264,0.396,96
1.184,0.372,107
1.319,0.396,95
1.358,0.422,93
1.33,0.418,100
1.179,0.377,111
1.297,0.406,101
1.299,0.4,94
1.448,0.445,82
1.239,0.361,121
1.31,0.414,91
1.313,0.412,92
1.229,0.395,103
1.254,0.366,134
1.232,0.385,105
1.363,0.419,100
1.214,0.403,108
1.206,0.384,110
1.492,0.454,88
1.355,0.416,92
1.364,0.421,102
1.273,0.397,112
1.11,0.348,133
1.343,0.419,99
1.451,0.456,87
1.239,0.407,118
1.455,0.446,99
1.316,0.421,101
1.29,0.424,97
1.354,0.423,102
1.392,0.44,94
1.191,0.375,109
1.361,0.394,98
1.382,0.426,105
1.453,0.466,83
1.269,0.395,113
1.262,0.424,104
1.342,0.422,91
1.346,0.448,91
1.395,0.436,99
1.385,0.422,90
1.283,0.425,102
1.214,0.392,109
1.317,0.402,100
1.322,0.416,96
1.369,0.424,104
1.234,0.398,113
1.192,0.376,122
1.266,0.398,128
1.42,0.438,93
1.446,0.458,88
1.247,0.406,123
1.277,0.398,112
1.418,0.45,90
1.45,0.465,87
1.161,0.38,138
1.381,0.439,112
1.496,0.463,84
1.27,0.407,99
1.39,0.434,97
1.279,0.429,102
1.155,0.38,123
1.44,0.432,83
1.338,0.414,110
1.372,0.446,97
1.485,0.448,83
1.209,0.382,121
1.36,0.439,90
1.387,0.447,95
1.371,0.431,101
1.378,0.441,90
1.312,0.435,94
1.385,0.438,95
1.3,0.411,106
1.264,0.403,106
1.396,0.434,103
1.371,0.429,102
1.241,0.396,116
